UP,Down,contronler,hard
0,0,contronler_342,hard_2
0,0,contronler_342,hard_2
0,0,contronler_343,hard_2
0,0,contronler_343,hard_2
0,0,contronler_343,hard_2
0,0,contronler_344,hard_2
0,0,contronler_345,hard_2
0,0,contronler_345,hard_2
0,0,contronler_345,hard_2
0,0,contronler_346,hard_2
0,0,contronler_346,hard_2
0,0,contronler_347,hard_2
0,0,contronler_347,hard_2
0,0,contronler_348,hard_2
0,0,contronler_348,hard_2
0,0,contronler_348,hard_2
0,0,contronler_349,hard_2
0,0,contronler_350,hard_2
0,0,contronler_350,hard_2
0,0,contronler_350,hard_2
0,0,contronler_351,hard_2
0,0,contronler_351,hard_2
0,0,contronler_351,hard_2
0,0,contronler_351,hard_2
0,0,contronler_352,hard_2
0,0,contronler_353,hard_2
0,0,contronler_353,hard_2
0,0,contronler_354,hard_2
0,0,contronler_354,hard_2
0,0,contronler_355,hard_2
0,0,contronler_355,hard_2
0,0,contronler_356,hard_2
0,0,contronler_357,hard_2
0,0,contronler_358,hard_2
0,0,contronler_358,hard_2
0,0,contronler_359,hard_2
0,0,contronler_360,hard_2
0,0,contronler_360,hard_2
0,0,contronler_361,hard_2
0,0,contronler_361,hard_2
0,0,contronler_362,hard_2
0,0,contronler_362,hard_2
0,0,contronler_363,hard_2
0,0,contronler_363,hard_2
0,0,contronler_364,hard_2
0,0,contronler_364,hard_2
0,0,contronler_365,hard_2
0,0,contronler_365,hard_2
0,0,contronler_365,hard_2
0,0,contronler_366,hard_2
0,0,contronler_366,hard_2
0,0,contronler_366,hard_2
0,0,contronler_367,hard_2
0,0,contronler_368,hard_2
0,0,contronler_368,hard_2
0,0,contronler_369,hard_2
0,0,contronler_370,hard_2
0,0,contronler_370,hard_2
0,0,contronler_370,hard_2
0,0,contronler_371,hard_2
0,0,contronler_372,hard_2
0,0,contronler_373,hard_2
0,0,contronler_374,hard_2
0,0,contronler_375,hard_2
0,0,contronler_375,hard_2
0,0,contronler_376,hard_2
0,0,contronler_377,hard_2
0,0,contronler_378,hard_2
0,0,contronler_379,hard_2
0,0,contronler_379,hard_2
0,0,contronler_380,hard_2
0,0,contronler_381,hard_2
0,0,contronler_381,hard_2
0,0,contronler_381,hard_2
0,0,contronler_382,hard_2
0,0,contronler_383,hard_2
0,0,contronler_384,hard_2
0,0,contronler_384,hard_2
0,0,contronler_385,hard_2
0,0,contronler_386,hard_2
0,0,contronler_387,hard_2
0,0,contronler_387,hard_2
0,0,contronler_388,hard_2
0,0,contronler_389,hard_2
0,0,contronler_390,hard_2
0,0,contronler_390,hard_2
0,0,contronler_391,hard_2
0,0,contronler_391,hard_2
0,0,contronler_392,hard_2
0,0,contronler_392,hard_2
0,0,contronler_393,hard_2
0,0,contronler_393,hard_2
0,0,contronler_394,hard_2
0,0,contronler_394,hard_2
0,0,contronler_395,hard_2
0,0,contronler_395,hard_2
0,0,contronler_396,hard_2
0,0,contronler_396,hard_2
0,0,contronler_396,hard_2
0,0,contronler_397,hard_2
0,0,contronler_397,hard_2
0,0,contronler_398,hard_2
0,0,contronler_399,hard_2
0,0,contronler_399,hard_2
0,0,contronler_400,hard_2
0,0,contronler_401,hard_2
0,0,contronler_401,hard_2
0,0,contronler_402,hard_2
0,0,contronler_402,hard_2
0,0,contronler_403,hard_2
0,0,contronler_404,hard_2
0,0,contronler_405,hard_2
0,0,contronler_406,hard_2
0,0,contronler_406,hard_2
0,0,contronler_406,hard_2
0,0,contronler_406,hard_2
0,0,contronler_407,hard_2
0,0,contronler_407,hard_2
0,0,contronler_408,hard_2
0,0,contronler_409,hard_2
0,0,contronler_409,hard_2
0,0,contronler_410,hard_2
0,0,contronler_410,hard_2
0,0,contronler_411,hard_2
0,0,contronler_411,hard_2
0,0,contronler_412,hard_2
0,0,contronler_413,hard_2
0,0,contronler_414,hard_2
0,0,contronler_415,hard_2
0,0,contronler_416,hard_2
0,0,contronler_417,hard_2
0,0,contronler_418,hard_2
0,0,contronler_418,hard_2
0,0,contronler_419,hard_2
0,0,contronler_419,hard_2
0,0,contronler_420,hard_2
0,0,contronler_420,hard_2
0,0,contronler_421,hard_2
0,0,contronler_422,hard_2
0,0,contronler_423,hard_2
0,0,contronler_423,hard_2
0,0,contronler_424,hard_2
0,0,contronler_425,hard_2
0,0,contronler_426,hard_2
0,0,contronler_427,hard_2
0,0,contronler_427,hard_2
0,0,contronler_428,hard_2
0,0,contronler_428,hard_2
0,0,contronler_429,hard_2
0,0,contronler_429,hard_2
0,0,contronler_430,hard_2
0,0,contronler_431,hard_2
0,0,contronler_432,hard_2
0,0,contronler_433,hard_2
0,0,contronler_434,hard_2
0,0,contronler_435,hard_2
0,0,contronler_436,hard_2
0,0,contronler_437,hard_2
0,0,contronler_437,hard_2
0,0,contronler_437,hard_2
0,0,contronler_438,hard_2
0,0,contronler_439,hard_2
0,0,contronler_440,hard_2
0,0,contronler_441,hard_2
0,0,contronler_442,hard_2
0,0,contronler_443,hard_2
0,0,contronler_444,hard_2
0,0,contronler_444,hard_2
0,0,contronler_445,hard_2
0,0,contronler_445,hard_2
0,0,contronler_446,hard_2
0,0,contronler_447,hard_2
0,0,contronler_447,hard_2
0,0,contronler_448,hard_2
0,0,contronler_449,hard_2
0,0,contronler_450,hard_2
0,0,contronler_450,hard_2
0,0,contronler_451,hard_2
0,0,contronler_452,hard_2
0,0,contronler_453,hard_2
0,0,contronler_454,hard_2
0,0,contronler_455,hard_2
0,0,contronler_455,hard_2
0,0,contronler_456,hard_2
0,0,contronler_457,hard_2
0,0,contronler_457,hard_2
0,0,contronler_457,hard_2
0,0,contronler_457,hard_2
0,0,contronler_458,hard_2
0,0,contronler_458,hard_2
0,0,contronler_459,hard_2
0,0,contronler_460,hard_2
0,0,contronler_461,hard_2
0,0,contronler_461,hard_2
0,0,contronler_462,hard_2
0,0,contronler_463,hard_2
0,0,contronler_464,hard_2
0,0,contronler_465,hard_2
0,0,contronler_466,hard_2
0,0,contronler_466,hard_2
0,0,contronler_466,hard_2
